Plant name;Common name (English);Origin;Classification;Diameter;Height;Colors (leaf);Colors (flower);Colors (bract);Colors (fruit);Planting period;Growth period;Blooming period;Fruiting period;Tags;Sunlight;Watering;Fertilizing;Pruning;Soil;Soil moisture MIN (%);Soil moisture MAX (%);Soil conductivity MIN (μs/cm);Soil conductivity MAX (μs/cm);Soil PH MIN;Soil PH MAX;Temperature MIN (℃);Temperature MAX (℃);Humidity MIN (%RH);Humidity MAX (%RH);Light MIN (lux);Light MAX (lux);Light MIN (mmol);Light MAX (mmol);
Camellia 'chidan';;China;Theaceae,Camellia;≥10;≥15;;120,146,144,59;;;;spring,autumn;;10-5;;;2;3,6;6,0;1;19;20;60;200;2000;5.5;6.5;5;35;30;80;2000;40000;2000;5600
Camellia × maliflora;;China;Theaceae,Camellia;≥20;≥25;;144;;115;;;;2-3;9-10;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;3500;60000;4000;6000
Campanula glomerata;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;119,45,61;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula lactiflora;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;144,59;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula latifolia;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;119,45,61;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula persicifolia 'Takion';;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;45,144;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula portenschlagiana;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;119,45,61;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula poscharskyana;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;90;;;;;;7-8;8-10;33;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula punctata;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;144;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula pyramidalis;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;119,59;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula rapunculus;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;119;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula rotundifolia;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;144,45,119;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula takesimana;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;144,45,119;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula trachelium;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;144,45,119;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campanula;;Northern Eurasia;Campanulaceae,Campanula;≥10;≥15;;144,59;;;;;;7-8;8-10;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Campsis grandiflora;;China;Bignoniaceae,Campsis;≥10;≥15;;120,146;;;;;;5-8;;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;4000;60000;3000;6000
Campsis radicans;;China;Bignoniaceae,Campsis;≥10;≥15;;120,146;;;;;;5-8;;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;4000;60000;3000;6000
Cananga odorata;;Burma,Indonesia;Annonaceae,Cananga;≥20;20-30;;147;;;;;;4-8;9-3;;4;4;0,64;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Canarium album;;Subtropical regions;Burseraceae,Canarium;≥20;≥1000;;144;;147;;;;4-5;10-12;37;3;2,6;7,336;1;6;20;60;200;2000;0;0;6;35;30;80;3000;80000;3500;7500
Canna 'Cannova';;Tropical Americas,India,Malay Peninsula;Cannaceae,Canna;≥15;≥25;;120,106,146,119;;;;;;3-12;3-12;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Canna 'South Pacific';;Tropical Americas,India,Malay Peninsula;Cannaceae,Canna;≥15;≥25;;106;;;;;;3-12;3-12;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Canna edulis;;South America;Cannaceae,Canna;≥15;≥25;;107;;;;spring,autumn;;9-10;;;3;3;7,0;1;6;15;60;350;2000;0;0;10;32;30;85;2500;75000;3000;7700
Canna indica;;Tropical Americas,India,Malay Peninsula;Cannaceae,Canna;≥15;≥25;;120,146,119;;;;;;3-12;3-12;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Canna warszewiczii;;Tropical Americas,India,Malay Peninsula;Cannaceae,Canna;≥15;≥25;;120,146,119;;;;;;3-12;3-12;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Canna × generalis;;Tropical Americas,India,Malay Peninsula;Cannaceae,Canna;≥15;≥25;;120,146,119;;;;;;3-12;3-12;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Cantua buxifolia;;Peru;Polemoniaceae,Cantua;≥10;15-18;;96;;;;;;4-5;;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;3700;30000;2500;4500
Capparis spinosa;;Mediterranean coastal areas;Capparaceae,Capparis;≥10;15-18;;144;;;;;;5-9;6-9;;2-3;4;6,256;1;6;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Caragana arborescens;;China;Leguminosae,Caragana;≥20;≥25;;146;;;;;;5-6;8-9;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;30000;2500;4500
Cardiospermum halicacabum;;Subtropical and tropical Americas;Sapindaceae,Cardiospermum;≥10;15-18;;144;;;;;;7-9;;;3-4;4;0,64;0;6;15;60;350;2000;0;0;5;35;30;80;3700;30000;2500;4500
Carex comans;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex dolichostachya;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex flagellifera;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex hachijoensis;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex morrowii;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex pendula;pendulous sedge;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex riparia;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carex testacea;;China;Cyperaceae,Carex;≥10;15-18;;146;;;;;;5;6;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;20000;2000;4000
Carica papaya;;Southern Mexico and Central America;Caricaceae,Carica;≥40;≥80;;82;;106,146;;;;;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;3600;60000;4000;6000
Carissa macrocarpa;;South Africa;Apocynaceae,Carissa;≥10;15-18;;144;;120;;;;8;;;3-4;2,6;5,2;1;8;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Carmona microphylla;;Tropical areas;Boraginaceae,Carmona;≥10;≥10;;144;;;;;;5-7;8-10;;1-3;2,6;0,64;1;0;20;60;100;2000;0;0;5;35;30;80;2000;55000;1800;5400
Carpinus betulus;;Europe,China;Betulaceae,Carpinus;≥15;≥25;;120;;;;;;4-5;8-9;;3-4;3,6;6,0;2;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Carpinus japonica;;Europe,China;Betulaceae,Carpinus;≥15;≥25;;120;;;;;;4-5;8-9;;3-4;3,6;6,0;2;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Carpinus turczaninowii;;Europe,China;Betulaceae,Carpinus;≥15;≥25;;120;;;;;;4-5;8-9;;3-4;3,6;6,0;2;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Carthamus tinctorius;;China,Japan,Korea;Compositae,Carthamus;≥10;15-18;;146,107;;;;;;5-8;5-8;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;3700;60000;4000;6000
Carum carvi;;Europe,Western Asia;Apiaceae,Carum;≥20;20-30;;144,140;;;;;;5-8;5-8;;4;4;0,64;1;19;15;60;350;2000;0;0;5;35;30;80;3700;30000;2500;4500
Carya aquatica;;China;Juglandaceae,Carya;30-60;≥1000;;56;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Carya cathayensis;;China;Juglandaceae,Carya;30-60;≥1000;;56;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Carya cordiformis;;China;Juglandaceae,Carya;30-60;≥1000;;56;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Carya glabra;;China;Juglandaceae,Carya;30-60;≥1000;;56;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Carya illinoinensis;;China;Juglandaceae,Carya;30-60;≥1000;;56;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Carya ovata;;China;Juglandaceae,Carya;30-60;≥1000;;56;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Carya texana;;China;Juglandaceae,Carya;30-60;≥1000;;56,120;;50,53,56;;;;4-5;9;;4;2,6;11,16;1;0;15;60;350;2000;6.1;7.8;5;35;30;80;3500;70000;4000;8800
Caryopteris incana;;China,Japan,Vietnam;Verbenaceae,Caryopteris;≥10;15-18;;45;;;;;;6-10;;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;20000;2000;4000
Caryopteris spp.;;South Asia,East Asia;SubFam.Caryopteridoideae,Caryopteris;≥20;15-20;;119,61;;87;;;;7-8;8-9;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;32;30;80;3700;20000;2000;4000
Caryota ochlandra;;Asia;Palmae,Chrysalidocarpus;≥10;≥10;56;146;;;;spring,autumn;;5-7;;46;2;,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;2000;7000;1500;3500
Cassia obtusifolia;;Tropical Americas;Leguminosae,Cassia;≥15;≥25;;146;;;;;;8-11;8-11;;2-3;3,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;4000;30000;2500;4500
Castanea dentata;;China;Fagaceae,Castanea;≥15;≥25;;82;;87;;;;5-6;9-10;;4;3,6;6,0;1;8;15;60;350;2000;6.1;7;8;35;30;80;4000;50000;3500;5000
Castanea mollissima;;China;Fagaceae,Castanea;≥15;≥25;;82;;87;;;;5-6;9-10;;4;3,6;6,0;1;8;15;60;350;2000;6.1;7;8;35;30;80;4000;50000;3500;5000
Castanea sativa;;China;Fagaceae,Castanea;≥15;≥25;;82;;87;;;;5-6;9-10;;4;3,6;6,0;1;8;15;60;350;2000;6.1;7;8;35;30;80;4000;50000;3500;5000
Castanospermum australe;;Australia;Fabaceae,Castanospermum;≥15;≥25;56;107;;;;;;4-5;8-9;;3;2,6;7,0;1;0;20;60;100;2000;0;0;10;35;30;80;2000;35000;1500;4800
Catalpa bignonioides;;United States;Bignoniaceae,Catalpa;≥20;≥25;;144;;;;;;6;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;30000;2500;4500
Catalpa speciosa;;United States;Bignoniaceae,Catalpa;≥20;≥25;;144;;8;;;;5-6;8-9;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;30000;2500;4500
Catharanthus roseus;;Mediterranean coastal areas,India,Tropical Americas;Apocynaceae,Catharanthus;≥10;≥15;;144,120;;8;;;;1-12;1-12;;2-3;3,6;6,0;1;8;15;60;350;2000;0;0;8;33;30;80;2500;40000;2600;5400
Cattleya maxima;;Brazil;Orchidaceae,Cattleya;≥10;≥15;;144,146,107,33,96;;;;;;1-12;;38;2-3;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;4000;30000;2500;4500
Cattleya × hybrida;;Brazil;Orchidaceae,Cattleya;≥10;≥15;;144,146,107,33,96;;;;;;1-12;;38;2-3;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;4000;30000;2500;4500
Cayratia japonica;;Asia;Vitaceae,Cayratia Juss;≥10;≥10;56;82;;;;spring,autumn;;;;46;2-3;3,6;7,0;1;19;15;60;350;2000;0;0;8;35;30;85;800;30000;1200;4500
Ceanothus americanus;;Americas;Rhamnaceae,Ceanothus;≥20;≥25;;45;;;;;;4-6;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;30000;2500;4500
Cedrus atlantica;;Western Asia,Himalayan Mountains,Africa;Pinaceae,Cedrus;≥15;≥25;56;;;56,119,146;;;;10-11;;;4;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2500;55000;3000;6300
Cedrus deodara;;Western Asia,Himalayan Mountains,Africa;Pinaceae,Cedrus;≥15;≥25;56;;;56,119,146;;;;10-11;;;4;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2500;55000;3000;6300
Cedrus libani;;Western Asia,Himalayan Mountains,Africa;Pinaceae,Cedrus;≥15;≥25;56;;;56,119,146;;;;10-11;;;4;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;35;30;80;2500;55000;3000;6300
Ceiba speciosa;;South America;Bombacaceae,Ceiba;≥25;≥40;;59;;;;spring,autumn;;10-12;5;;2-4;2,6;7,0;129;6;15;60;350;2000;0;0;5;35;30;80;3500;65000;3500;7400
Celastrus orbiculatus;;China;Celastraceae,Celastrus;≥20;≥25;;144,56;;107;;;;5-6;7-10;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;3700;50000;3500;5000
Celosia argentea;;Northern South America,Tropical Africa,West Indies,South Asia,East Asia,Southeast Asia;Amaranthaceae,Celosia;≥10;15-19;;144,120,59,142;;;;;;5-8;6-10;;2-3;4;1,0;0;0;15;60;350;2000;0;0;10;30;30;80;3700;30000;2500;4500
Celosia cristata;;Africa,Tropical Americas,India;Amaranthaceae,Celosia;≥10;≥15;;120,119,146,106,106;;;;;;7-9;7-9;;4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;50000;3500;5000
Celosia plumosa;;Africa,Tropical Americas,India;Amaranthaceae,Celosia;≥10;≥15;;120,146,106,96,59,144;;;;;;7-9;7-9;;4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;50000;3500;5000
Celosia spicata;;Africa,Tropical Americas,India;Amaranthaceae,Celosia;≥10;≥15;;120,119,146;;;;;;7-9;7-9;;4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;50000;3500;5000
Celtis australis;;China;Ulmaceae,Celtis;≥15;≥25;;;;146,106,46;;;;4;10;;3-4;2,6;6,0;512;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Celtis laevigata;;China;Ulmaceae,Celtis;≥15;≥25;;;;146,106,46;;;;4;10;;3-4;2,6;6,0;512;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Celtis occidentalis;;China;Ulmaceae,Celtis;≥15;≥25;;;;146,106,46;;;;4;10;;3-4;2,6;6,0;512;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Celtis reticulata;;China;Ulmaceae,Celtis;≥15;≥25;;;;146,106,46;;;;4;10;;3-4;2,6;6,0;512;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Celtis sinensis;;China;Ulmaceae,Celtis;≥15;≥25;;;;146,106,46;;;;4;10;;3-4;2,6;6,0;512;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Centaurea cyanus;;German;Compositae,Centaurea;≥10;15-18;;45,119,96;;;;;;2-8;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Centaurea dealbata;;Europe;Compositae,Centaurea;≥10;15-18;;45,119;;;;;;2-8;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Centaurea jacea;;Europe;Compositae,Dendranthema;≥10;15-18;;45,119;;;;;;2-8;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Centaurea macrocephala;;China;Compositae,Dendranthema;≥10;15-18;;45,119,146;;;;;;2-8;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Centaurea montana;;Europe;Compositae,Dendranthema;≥10;15-18;;45,119;;;;;;2-8;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Centaurea scabiosa;;Europe;Compositae,Dendranthema;≥10;15-18;;45,119;;;;;;2-8;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Centella asiatica;;Europe;Umbelliferae,Hydrocotyle;≥10;≥15;56;147;;;;;;6-8;7;32;2-3;3,6;6,0;1;6;15;65;350;2000;0;0;10;32;30;85;800;9000;1200;2000
Centratherum intermedium;;China;Compositae,Centratherum;≥10;15-18;;45;;;;;;9-11;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Cephalocereus senilis;;Mexico;Cactaceae,Cephalocereus;≥10;≥15;;56;;82,106,59;;spring,summer,autumn;;;;35;4;2,6;7,0;1;18;7;50;100;1000;0;0;8;35;15;80;3000;100000;3500;8700
Cephalophyllum framesii;;South Africa;Aizoaceae,Bergeranthus;≥5;≥5;56;96;;;;spring,autumn;;;;34;3;2,6;7,0;129;18;7;50;50;1000;0;0;7;35;15;80;3500;80000;3800;8200
Cephalotaxus harringtonia;;Japan;Cephalotaxaceae,Cephalotaxus;≥15;≥30;56;98;;;;;;4;8-10;;3-4;2,6;6,0;2;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Cerastium tomentosum;;Europe,Western Asia;Caryophyllaceae,Cerastium;≥10;15-18;;144;;;;;;5-8;7-9;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;50000;3500;5000
Cerasus pseudocerasus;;Tropical Americas,Caribbean Islands;Rosaceae,Cerasus;≥40;≥80;;144;;120,146;;;;3-4;5-6;;4;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;3600;60000;4000;8200
Ceratostigma griffithii;;China;Plumbaginaceae,Ceratostigma;≥10;15-18;;42;;;;;;7-9;8-10;;3-4;2,6;5,2;1;8;15;60;350;2000;0;0;8;35;30;80;2500;50000;3500;7500
Ceratostigma plumbaginoides;;China;Plumbaginaceae,Ceratostigma;≥10;15-18;;42;;;;;;7-9;8-10;;3-4;2,6;5,2;1;8;15;60;350;2000;0;0;8;35;30;80;2500;50000;3500;7500
Ceratostigma willmottianum;;China;Plumbaginaceae,Ceratostigma;≥10;15-18;;42;;;;;;7-9;8-10;;3-4;2,6;5,2;1;8;15;60;350;2000;0;0;8;35;30;80;2500;50000;3500;7500
Cercidiphyllum japonicum;;China,Japan;Cercidiphyllaceae,Cercidiphyllum;≥20;≥25;;120;;12;;;;4;8;;3-4;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;5;32;30;80;3500;30000;2500;4500
Cercis canadensis;;China;Leguminosae,Cercis;≥10;≥15;;96,59;;;;spring,autumn;;3-4;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Cercis chinensis;;China;Leguminosae,Cercis;≥10;≥15;;96,59;;;;spring,autumn;;3-4;;;2-4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Cercis occidentalis;;China;Leguminosae,Cercis;≥10;≥15;;96,59;;;;spring,autumn;;3-4;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Cereus spp.;;Mexico;Cactaceae,Cereus;≥10;≥15;;56;;82,106,59;;spring,summer,autumn;;;;35;4;2,6;7,0;1;18;7;50;100;1000;0;0;8;35;15;80;3000;100000;3500;8700
Ceropegia woodii;;South Africa;Asclepiadaceae,Ceropegia;≥2;≥5;96;46;;;;spring,autumn;;;;34;2;2;8,0;1;18;7;50;300;1000;0;0;8;35;15;80;2500;35000;2000;4000
Cestrum nocturnum;;South America,India;Solanaceae,Cestrum;≥20;≥25;;144;;;;;;5-6;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3500;50000;3500;5000
Chaenomeles cathayensis;;China;Rosaceae,Chaenomeles;≥10;≥15;;59;;;;spring;;3;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;3000;5400
Chaenomeles japonica;;China;Rosaceae,Malus x Chaenomeles;≥10;≥15;;114;;;;spring;;3;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;3000;5400
Chaenomeles speciosa;;China;Rosaceae,Chaenomeles;≥10;≥15;;114;;;;spring;;3;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;3000;5400
Chamaecereus silvestrii;;China,Japan,Korea;Symplocaceae,Symplocos;≥10;15-18;;144;;;;;;5-7;5-7;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;3700;30000;2500;4500
Chamaecyparis lawsoniana;;China;Cupressaceae,Chamaecyparis;≥15;≥25;26;46;;33;;;;4;10-11;;4;2,6;6,0;512;16;15;60;350;2000;0;0;5;35;30;80;3500;50000;3000;6500
Chamaecyparis nootkatensis;;China;Cupressaceae,Chamaecyparis;≥15;≥25;26;146,45;;;;;;4;10-11;;4;2,6;6,0;512;16;15;60;350;2000;0;0;5;35;30;80;3500;50000;3000;6500
Chamaecyparis obtusa;;China;Cupressaceae,Chamaecyparis;≥15;≥25;56;146;;46;;;;4;10-11;;4;2,6;6,0;512;16;15;60;350;2000;0;0;5;35;30;80;3500;50000;3000;6500
Chamaecyparis pisifera;;Japan;Cupressaceae,Chamaecyparis;≥15;≥25;56;;;87;;;;;;46;4;2,6;6,0;2;19;15;60;350;2000;0;0;5;35;30;80;3500;50000;3000;6500
Chamaecyparis taiwanensis;;China;Cupressaceae,Chamaecyparis;≥15;≥25;26;;;125;;;;4;10-11;;4;2,6;6,0;512;16;15;60;350;2000;0;0;5;35;30;80;3500;50000;3000;6500
Chamaecyparis thyoides;;China;Cupressaceae,Chamaecyparis;≥15;≥25;84;87;;46;;;;4;10-11;;4;2,6;6,0;512;16;15;60;350;2000;0;0;5;35;30;80;3500;50000;3000;6500
Chamaedorea elegans;dwarf palm;Mexico;Palmae,Chamaedorea;≥10;≥15;92,38;146;;;;spring;;4-5;;46,64;2;4;6,0;1;8;15;60;350;2000;0;0;10;32;30;85;800;22000;1000;2700
Chamaedorea metallica;;Mexico;Palmae,Hyophorbe;≥15;≥25;26;;;;;;;;;46;1-2;2,6;6,0;1;19;15;60;350;2000;0;0;5;32;30;80;1500;6000;1200;2500
Chamelaucium uncinatum 'Geralton wax';;Australia;Myrtaceae,Chamelaucium;≥10;≥15;;144,59,119;;;;;;11-3;;;3-4;2,6;0,0;1;19;15;60;350;2000;0;0;5;32;30;80;3000;50000;3000;6000
Chasmanthium latifolium;;China;Gramineae,Chasmanthium;≥10;15-18;;90;;;;;;9-11;;;2-3;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;85;1500;6000;1200;2500
Cheilocostus speciosus;;Tropical Asia;Zingiberaceae,Costus;≥20;≥20;;144;;;;spring;;7-9;9-11;;2-4;,6;6,0;1;6;15;60;350;2000;0;0;5;35;30;85;3500;30000;2500;4500
Chelone obliqua;;North America;Scrophulariaceae,Chelone;≥10;15-18;;119,59,144;;;;;;7-10;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;3700;30000;2500;4500
Chenopodium album;;Temperate and tropical areas;Chenopodiaceae,Chenopodium;≥10;15-18;;59,56;;8;;;;5-10;5-10;;2-3;2;0,64;0;19;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Chenopodium capitatum;;Temperate and tropical areas;Chenopodiaceae,Chenopodium;≥10;15-18;;120,56;;;;;;5-10;5-10;;2-3;2;0,64;0;19;15;60;350;2000;0;0;8;32;30;80;3700;20000;2000;4000
Chenopodium quinoa;;South America;Chenopodiaceae,Chenopodium;≥20;20-30;;82;;;;;;5-7;;;2-4;4;4,260;1;6;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Chimonanthus praecox;Japanese allspice;China;Calycanthaceae,Chimonanthus;≥10;≥15;;63;;;;;;11-3;;;3-4;2,6;0,0;1;19;15;60;350;2000;0;0;5;32;30;80;3000;50000;3000;6000
Chionanthus retusus;;Southeast United States;Oleaceae,Chionanthus;≥15;≥25;;144;;97,8;;;;3-6;6-11;;4;2,6;6,0;2;8;15;60;350;2000;0;0;5;35;30;80;3500;60000;4000;6000
Chionodoxa forbesii;;Turkey;Hyacinthaceae,Chionodoxa;≥10;15-18;;45,119;;;;;;2-5;;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3700;30000;2500;4500
Chirita tamiana;;Asia;Gesneriaceae,Chirita;≥10;≥10;;59,45,146;;;;spring,autumn;;1-12;;;2;2,6;7,0;1;6;15;60;350;2000;0;0;10;32;30;80;1500;25000;2000;5000
Chlorophytum bichetii;;Tropical areas in Western Africa;Liliaceae,Chlorophytum;≥10;≥15;56;;;;;;;;;46,64;1-2;2,6;6,0;1;19;15;60;350;2000;0;0;10;32;30;85;600;30000;1600;2700
Chlorophytum comosum 'green';spider plant;Africa;Liliaceae,Chlorophytum;≥10;≥15;56;144;;;;spring,autumn;;;;46,64;1-2;,5;5,0;1;8;15;60;200;1300;0;0;10;32;30;85;500;30000;1500;2700
